Verð fjölbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð fjölbýlis í þúsundum króna,Meðaltals staðgreiðsluverð fjölbýlis í þúsundum króna,Kaupverð fjölbýlis á fermeter (krónur),Staðgreiðsluverð fjölbýlis á fermeter (krónur)
2006.0,7.0,295.0,97.0,21196.0,20730.0,222176.0,217454.0
2006.0,6.0,291.0,96.0,21130.0,20654.0,223330.0,218078.0
2006.0,5.0,469.0,101.0,21494.0,21216.0,215739.0,213315.0
2006.0,4.0,400.0,99.0,20945.0,20682.0,216225.0,213829.0
2006.0,3.0,634.0,100.0,21094.0,20838.0,214989.0,212750.0
2006.0,2.0,513.0,99.0,20525.0,20241.0,210177.0,207629.0
2006.0,1.0,328.0,101.0,21079.0,20747.0,212349.0,209552.0
2005.0,12.0,354.0,96.0,19929.0,19674.0,212179.0,210014.0
2005.0,11.0,477.0,100.0,20321.0,20103.0,208850.0,206808.0
2005.0,10.0,518.0,95.0,19092.0,18896.0,203624.0,201837.0
2005.0,9.0,635.0,97.0,19008.0,18812.0,200283.0,198567.0
2005.0,8.0,528.0,94.0,18644.0,18402.0,200854.0,198526.0
2005.0,7.0,527.0,93.0,18636.0,18429.0,202252.0,200270.0
2005.0,6.0,551.0,95.0,18475.0,18256.0,196875.0,194813.0
2005.0,5.0,500.0,97.0,18218.0,18067.0,192262.0,190882.0
2005.0,4.0,699.0,100.0,18057.0,17846.0,186040.0,184183.0
2005.0,3.0,629.0,101.0,17816.0,17661.0,180282.0,178942.0
2005.0,2.0,691.0,98.0,17001.0,16887.0,177305.0,176340.0
2005.0,1.0,513.0,97.0,15826.0,15759.0,168726.0,168075.0
2004.0,12.0,698.0,97.0,15135.0,15063.0,160267.0,159671.0
2004.0,11.0,835.0,99.0,15092.0,15014.0,156037.0,155372.0
2004.0,10.0,826.0,101.0,14725.0,14625.0,149937.0,149064.0
2004.0,9.0,800.0,98.0,14206.0,14128.0,148462.0,147834.0
2004.0,8.0,516.0,99.0,13981.0,13916.0,145227.0,144720.0
2004.0,7.0,449.0,99.0,14151.0,14031.0,146635.0,145555.0
2004.0,6.0,629.0,97.0,13623.0,13503.0,143990.0,142905.0
2004.0,5.0,507.0,101.0,13829.0,13907.0,142288.0,143235.0
2004.0,4.0,446.0,99.0,13558.0,13602.0,141662.0,142370.0
2004.0,3.0,588.0,101.0,13582.0,13451.0,139049.0,137838.0
2004.0,2.0,504.0,101.0,13596.0,13254.0,139865.0,136453.0
2004.0,1.0,338.0,96.0,12815.0,12518.0,137761.0,134742.0
2003.0,12.0,447.0,98.0,12870.0,12683.0,135391.0,133571.0
2003.0,11.0,465.0,99.0,13050.0,12923.0,134907.0,133789.0
2003.0,10.0,634.0,98.0,12887.0,12791.0,135022.0,134109.0
2003.0,9.0,618.0,100.0,12701.0,12579.0,133192.0,132127.0
2003.0,8.0,481.0,98.0,12693.0,12565.0,133640.0,132440.0
2003.0,7.0,653.0,96.0,12365.0,12271.0,133129.0,132219.0
2003.0,6.0,424.0,98.0,12644.0,12445.0,132994.0,130929.0
2003.0,5.0,446.0,96.0,12193.0,11905.0,131539.0,128492.0
2003.0,4.0,436.0,99.0,12379.0,12018.0,129097.0,125259.0
2003.0,3.0,548.0,98.0,12386.0,12075.0,129820.0,126677.0
2003.0,2.0,450.0,98.0,11989.0,11687.0,127420.0,124292.0
2003.0,1.0,296.0,101.0,12338.0,11846.0,127475.0,122445.0
2002.0,12.0,300.0,96.0,11992.0,11414.0,128254.0,122009.0
2002.0,11.0,487.0,98.0,11880.0,11299.0,126029.0,119875.0
2002.0,10.0,507.0,97.0,11979.0,11293.0,127280.0,119907.0
2002.0,9.0,523.0,96.0,11762.0,10946.0,126290.0,117422.0
2002.0,8.0,440.0,97.0,11723.0,10901.0,124193.0,115383.0
2002.0,7.0,442.0,101.0,11838.0,10864.0,124324.0,114029.0
2002.0,6.0,417.0,95.0,11432.0,10509.0,124239.0,114193.0
2002.0,5.0,446.0,102.0,12312.0,11331.0,124423.0,114408.0
2002.0,4.0,445.0,98.0,11523.0,10536.0,122126.0,111691.0
2002.0,3.0,441.0,101.0,11967.0,11020.0,122076.0,112393.0
2002.0,2.0,398.0,97.0,11470.0,10614.0,121587.0,112630.0
2002.0,1.0,260.0,97.0,11266.0,10435.0,120070.0,111362.0
2001.0,12.0,367.0,100.0,11585.0,10755.0,120117.0,111514.0
2001.0,11.0,446.0,95.0,10946.0,10161.0,119155.0,110600.0
2001.0,10.0,435.0,93.0,10804.0,9993.0,120777.0,111789.0
2001.0,9.0,457.0,94.0,10882.0,10087.0,119178.0,110552.0
2001.0,8.0,367.0,96.0,11029.0,10164.0,118646.0,109341.0
2001.0,7.0,358.0,95.0,10879.0,10060.0,119374.0,110430.0
2001.0,6.0,375.0,97.0,11292.0,10422.0,118838.0,109696.0
2001.0,5.0,433.0,97.0,11028.0,10225.0,117976.0,109353.0
2001.0,4.0,309.0,98.0,11439.0,10608.0,120602.0,111652.0
2001.0,3.0,452.0,94.0,10951.0,10124.0,120355.0,111211.0
2001.0,2.0,344.0,92.0,10788.0,9974.0,121041.0,111730.0
2001.0,1.0,270.0,98.0,10850.0,10054.0,114667.0,106223.0
2000.0,12.0,372.0,97.0,10944.0,10220.0,116628.0,108615.0
2000.0,11.0,419.0,94.0,10681.0,9921.0,117444.0,108903.0
2000.0,10.0,402.0,93.0,10405.0,9629.0,114792.0,106205.0
2000.0,9.0,362.0,95.0,10305.0,9574.0,114227.0,105960.0
2000.0,8.0,367.0,92.0,10253.0,9517.0,113848.0,105649.0
2000.0,7.0,324.0,94.0,10213.0,9498.0,112044.0,104048.0
2000.0,6.0,389.0,94.0,10092.0,9383.0,112209.0,104214.0
2000.0,5.0,497.0,96.0,10150.0,9408.0,110548.0,102297.0
2000.0,4.0,390.0,96.0,9974.0,9447.0,107518.0,101771.0
2000.0,3.0,537.0,95.0,9605.0,9364.0,105167.0,102613.0
2000.0,2.0,349.0,94.0,9475.0,9282.0,104480.0,102377.0
2000.0,1.0,289.0,97.0,9278.0,9059.0,99271.0,97051.0
1999.0,12.0,419.0,96.0,9110.0,9055.0,97615.0,97089.0
1999.0,11.0,415.0,92.0,8517.0,8444.0,96269.0,95557.0
1999.0,10.0,479.0,91.0,8349.0,8287.0,95210.0,94622.0
1999.0,9.0,456.0,92.0,8328.0,8281.0,94156.0,93673.0
1999.0,8.0,458.0,93.0,8329.0,8282.0,93336.0,92885.0
1999.0,7.0,569.0,91.0,8193.0,8154.0,93305.0,92929.0
1999.0,6.0,571.0,93.0,8074.0,8019.0,89339.0,88766.0
1999.0,5.0,549.0,95.0,8000.0,7954.0,86975.0,86555.0
1999.0,4.0,564.0,97.0,7818.0,7786.0,84499.0,84217.0
1999.0,3.0,701.0,92.0,7509.0,7443.0,84754.0,84103.0
1999.0,2.0,272.0,95.0,7313.0,7295.0,82567.0,82399.0
1999.0,1.0,246.0,88.0,7084.0,7041.0,82525.0,82084.0
1998.0,12.0,384.0,90.0,7069.0,6898.0,81025.0,79118.0
1998.0,11.0,499.0,96.0,7294.0,7199.0,79491.0,78453.0
1998.0,10.0,490.0,90.0,6973.0,6863.0,79935.0,78750.0
1998.0,9.0,440.0,89.0,7057.0,6899.0,82073.0,80281.0
1998.0,8.0,405.0,91.0,6971.0,6759.0,79757.0,77356.0
1998.0,7.0,455.0,90.0,7056.0,6845.0,80303.0,77913.0
1998.0,6.0,417.0,94.0,7230.0,7023.0,80255.0,77977.0
1998.0,5.0,371.0,91.0,6950.0,6741.0,80160.0,77699.0
1998.0,4.0,401.0,95.0,7226.0,7008.0,78694.0,76310.0
1998.0,3.0,379.0,92.0,6900.0,6705.0,78453.0,76285.0
1998.0,2.0,336.0,96.0,7314.0,7003.0,78958.0,75554.0
1998.0,1.0,242.0,96.0,7186.0,6767.0,77897.0,73315.0
1997.0,12.0,349.0,96.0,7108.0,6698.0,77262.0,72878.0
1997.0,11.0,371.0,94.0,7029.0,6612.0,77218.0,72574.0
1997.0,10.0,430.0,92.0,6934.0,6515.0,78894.0,74131.0
1997.0,9.0,420.0,90.0,6718.0,6302.0,77520.0,72721.0
1997.0,8.0,345.0,92.0,6916.0,6449.0,77810.0,72586.0
1997.0,7.0,354.0,90.0,6830.0,6369.0,78448.0,73161.0
1997.0,6.0,367.0,96.0,7155.0,6677.0,77545.0,72392.0
1997.0,5.0,355.0,94.0,7002.0,6536.0,77503.0,72431.0
1997.0,4.0,281.0,94.0,7076.0,6587.0,78712.0,73158.0
1997.0,3.0,275.0,93.0,6828.0,6342.0,77460.0,71978.0
1997.0,2.0,277.0,90.0,6695.0,6219.0,77886.0,72523.0
1997.0,1.0,189.0,91.0,6742.0,6253.0,76795.0,71341.0
1996.0,12.0,225.0,92.0,6943.0,6454.0,77454.0,72029.0
1996.0,11.0,333.0,95.0,6948.0,6410.0,77058.0,71104.0
1996.0,10.0,386.0,95.0,6901.0,6377.0,75903.0,70162.0
1996.0,9.0,370.0,90.0,6650.0,6195.0,76759.0,71616.0
1996.0,8.0,325.0,92.0,6936.0,6490.0,79126.0,73995.0
1996.0,7.0,302.0,91.0,6788.0,6319.0,77832.0,72494.0
1996.0,6.0,289.0,94.0,6922.0,6427.0,76653.0,71260.0
1996.0,5.0,366.0,91.0,6640.0,6170.0,76059.0,70674.0
1996.0,4.0,347.0,96.0,7022.0,6493.0,75894.0,70218.0
1996.0,3.0,345.0,94.0,6768.0,6280.0,75606.0,70146.0
1996.0,2.0,250.0,96.0,6904.0,6426.0,75554.0,70282.0
1996.0,1.0,194.0,90.0,6564.0,6061.0,76124.0,70443.0
1995.0,12.0,277.0,93.0,6630.0,6148.0,74354.0,69141.0
1995.0,11.0,319.0,94.0,6932.0,6394.0,75913.0,70146.0
1995.0,10.0,283.0,90.0,6593.0,6111.0,76754.0,71204.0
1995.0,9.0,273.0,92.0,6942.0,6422.0,77514.0,71706.0
1995.0,8.0,320.0,92.0,6517.0,6033.0,75857.0,70340.0
1995.0,7.0,247.0,94.0,6885.0,6356.0,76656.0,70985.0
1995.0,6.0,325.0,93.0,6879.0,6365.0,76688.0,71001.0
1995.0,5.0,312.0,92.0,6749.0,6223.0,75996.0,70185.0
1995.0,4.0,214.0,94.0,6912.0,6358.0,77725.0,71542.0
1995.0,3.0,266.0,94.0,6920.0,6403.0,76994.0,71294.0
1995.0,2.0,189.0,89.0,6541.0,6038.0,76948.0,71194.0
1995.0,1.0,188.0,95.0,6864.0,6340.0,75056.0,69355.0
1994.0,12.0,255.0,95.0,6879.0,6504.0,76423.0,72425.0
1994.0,11.0,474.0,99.0,7079.0,6695.0,75152.0,71211.0
1994.0,10.0,243.0,93.0,6724.0,6388.0,75856.0,72176.0
1994.0,9.0,230.0,87.0,6485.0,6148.0,77949.0,74032.0
1994.0,8.0,251.0,91.0,6677.0,6299.0,76808.0,72660.0
1994.0,7.0,283.0,96.0,6918.0,6557.0,76669.0,72776.0
1994.0,6.0,271.0,93.0,6999.0,6627.0,77573.0,73666.0
1994.0,5.0,270.0,95.0,6952.0,6575.0,76624.0,72644.0
1994.0,4.0,238.0,92.0,6868.0,6520.0,78016.0,74092.0
1994.0,3.0,288.0,94.0,7020.0,6653.0,78304.0,74268.0
1994.0,2.0,190.0,92.0,6836.0,6461.0,77996.0,73702.0
1994.0,1.0,151.0,92.0,6789.0,6333.0,76807.0,71655.0
1993.0,12.0,210.0,92.0,6815.0,6477.0,77080.0,72750.0
1993.0,11.0,175.0,96.0,7291.0,6885.0,77918.0,73192.0
1993.0,10.0,243.0,90.0,6817.0,6122.0,79112.0,70973.0
1993.0,9.0,192.0,84.0,6296.0,5705.0,77889.0,70562.0
1993.0,8.0,158.0,82.0,6281.0,5695.0,78048.0,70538.0
1993.0,7.0,164.0,86.0,6514.0,5866.0,78008.0,70287.0
1993.0,6.0,177.0,85.0,6504.0,5809.0,78514.0,70153.0
1993.0,5.0,159.0,89.0,6571.0,5960.0,78096.0,70665.0
1993.0,4.0,145.0,85.0,6476.0,5792.0,78947.0,70594.0
1993.0,3.0,185.0,89.0,6640.0,6010.0,77544.0,70013.0
1993.0,2.0,161.0,89.0,6781.0,5991.0,78424.0,69160.0
1993.0,1.0,112.0,85.0,6557.0,5757.0,79177.0,69343.0
1992.0,12.0,135.0,90.0,6673.0,5853.0,77417.0,67822.0
1992.0,11.0,166.0,91.0,6718.0,5937.0,76835.0,67595.0
1992.0,10.0,197.0,82.0,6393.0,5620.0,79719.0,70075.0
1992.0,9.0,194.0,87.0,6553.0,5997.0,78597.0,71834.0
1992.0,8.0,150.0,89.0,6646.0,6062.0,77104.0,70213.0
1992.0,7.0,232.0,90.0,6728.0,6140.0,78007.0,70983.0
1992.0,6.0,193.0,87.0,6667.0,6117.0,80074.0,73295.0
1992.0,5.0,151.0,82.0,6513.0,5933.0,80728.0,73395.0
1992.0,4.0,151.0,95.0,7186.0,6349.0,78056.0,68959.0
1992.0,3.0,202.0,87.0,6608.0,5797.0,78284.0,68570.0
1992.0,2.0,164.0,85.0,6236.0,5435.0,75662.0,65982.0
1992.0,1.0,96.0,89.0,6382.0,5478.0,76278.0,65234.0
1991.0,12.0,139.0,90.0,6650.0,5712.0,76332.0,65579.0
1991.0,11.0,220.0,89.0,6717.0,5766.0,77355.0,66340.0
1991.0,10.0,199.0,90.0,6620.0,5626.0,75741.0,64345.0
1991.0,9.0,199.0,95.0,6715.0,5770.0,74305.0,63693.0
1991.0,8.0,178.0,89.0,6294.0,5415.0,73233.0,62962.0
1991.0,7.0,263.0,90.0,6490.0,5691.0,73687.0,64560.0
1991.0,6.0,129.0,83.0,6111.0,5269.0,76208.0,65391.0
1991.0,5.0,203.0,91.0,6529.0,5648.0,73803.0,63528.0
1991.0,4.0,175.0,91.0,6504.0,5620.0,73668.0,63443.0
1991.0,3.0,237.0,99.0,6649.0,5838.0,70141.0,61267.0
1991.0,2.0,143.0,91.0,6361.0,5537.0,71768.0,62187.0
1991.0,1.0,169.0,91.0,6231.0,5495.0,71926.0,63356.0
1990.0,12.0,169.0,90.0,5951.0,5247.0,67831.0,59611.0
1990.0,11.0,240.0,94.0,6297.0,5567.0,68964.0,60897.0
1990.0,10.0,265.0,92.0,6092.0,5388.0,68821.0,60756.0
1990.0,9.0,211.0,89.0,5875.0,5196.0,68767.0,60710.0
