Úrvinnslan byggist á 7.297 samningum sem þinglýst var á tímabilinu 30.júní 2013 til og með 31.júlí 2014 og fasteignamati 2015.,,,,
,,,,
"Leigusali, einstaklingur",,,,
Svæði,Fjöldi herbergja ,Fjöldi samninga,Meðalstærð,Ávöxtun
"Garðabær, Hafnarfjörður og Álftanes",2.0,13.0,75.8538461538461,0.0707603739725553
"Garðabær, Hafnarfjörður og Álftanes",3.0,65.0,91.7707692307692,0.0710993178842151
"Garðabær, Hafnarfjörður og Álftanes",4-5,43.0,123.902325581395,0.0664720589827798
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",2.0,8.0,81.7375,0.0747444995783374
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",3.0,15.0,95.3066666666667,0.0707026701092765
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",4-5,19.0,124.357894736842,0.0597043971803357
Breiðholt,2.0,21.0,65.2571428571429,0.0775080908865326
Breiðholt,3.0,20.0,82.63,0.0805945437938871
Breiðholt,4-5,15.0,105.286666666667,0.0756420306498486
Kjalarnes og Mosfellsbær,4-5,7.0,107.5,0.0618614259722103
Suðurnes nema Reykjanesbær,2.0,8.0,61.3625,0.0752073763738745
Suðurnes nema Reykjanesbær,3.0,25.0,96.164,0.0829863406735705
Suðurnes nema Reykjanesbær,4-5,62.0,145.883870967742,0.074579927595658
Reykjanesbær,2.0,63.0,58.7592063492064,0.0854770340169017
Reykjanesbær,3.0,109.0,81.7165137614679,0.0850316890080937
Reykjanesbær,4-5,112.0,127.328571428571,0.0772362503738833
Vesturland nema Akranes,2.0,22.0,72.4545454545455,0.076509232897565
Vesturland nema Akranes,4-5,46.0,141.65,0.0706735166268538
Akranes,2.0,6.0,66.8833333333333,0.0914569727073424
Akranes,3.0,10.0,104.6,0.0695897687144776
Akranes,4-5,14.0,130.7,0.0677915320125578
Vestfirðir,3.0,7.0,85.9857142857143,0.120688458132727
Vestfirðir,4-5,7.0,141.614285714286,0.0885146193871214
Norðurland nema Akureyri,4-5,14.0,135.35,0.0795560904028803
Akureyri,2.0,12.0,63.0166666666667,0.0896399631266247
Akureyri,3.0,26.0,90.6884615384615,0.0706692939714016
Akureyri,4-5,27.0,120.944444444444,0.0670264190377359
Austurland,2.0,22.0,70.9818181818182,0.0923414163032735
Austurland,3.0,28.0,86.2785714285714,0.0940657501989826
Austurland,4-5,32.0,116.171875,0.0860910860520394
Suðurland nema Selfoss og Vestmanneyjar,2.0,25.0,69.316,0.0763811629186734
Suðurland nema Selfoss og Vestmanneyjar,3.0,12.0,127.375,0.0710142640571172
Suðurland nema Selfoss og Vestmanneyjar,4-5,46.0,142.860869565217,0.0709842174189817
Selfoss,2.0,15.0,74.3533333333333,0.0724800092691382
Selfoss,3.0,15.0,112.033333333333,0.067491425927473
Selfoss,4-5,20.0,134.55,0.0612828253645419
