Unnið 26/02/2015,Íbúðaverð í sérbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
Miðbær Reykjavíkur - norðan Hringbrautar og vestan Snorrabrautar,,,,,,
,,,,,,
2012.0,13.0,199.0,49923.0,48431.0,252316.0,244950.0
2013.0,10.0,190.0,50190.0,49613.0,266709.0,263626.0
2014.0,14.0,193.0,53075.0,51984.0,275580.0,270069.0
,,,,,,
Breiðholt án Seljahverfis,,,,,,
,,,,,,
1990.0,19.0,171.0,10311.0,9524.0,61848.0,56926.0
1991.0,21.0,178.0,11716.0,10520.0,67533.0,60617.0
1992.0,14.0,186.0,12211.0,10944.0,67122.0,60311.0
1993.0,14.0,203.0,12683.0,11623.0,63045.0,57591.0
1994.0,27.0,201.0,11861.0,11062.0,60300.0,56431.0
1995.0,24.0,206.0,11714.0,10770.0,59362.0,54782.0
1996.0,34.0,206.0,12169.0,11196.0,60744.0,55845.0
1997.0,34.0,197.0,12318.0,11563.0,63738.0,59619.0
1998.0,62.0,188.0,11990.0,11681.0,66532.0,64893.0
1999.0,60.0,198.0,14555.0,14345.0,75583.0,74502.0
2000.0,23.0,206.0,17769.0,17001.0,89109.0,84830.0
2001.0,40.0,192.0,17786.0,16425.0,94582.0,87236.0
2002.0,38.0,189.0,18557.0,17245.0,102177.0,95020.0
2003.0,57.0,194.0,19640.0,19140.0,105095.0,102548.0
2004.0,56.0,177.0,21220.0,20975.0,124390.0,123036.0
2005.0,45.0,188.0,30026.0,29637.0,166246.0,164072.0
2006.0,43.0,173.0,33101.0,32269.0,197240.0,192516.0
2007.0,49.0,180.0,37339.0,36096.0,211581.0,205007.0
2008.0,11.0,151.0,36591.0,35204.0,244411.0,235991.0
2009.0,10.0,198.0,39410.0,36878.0,205781.0,191641.0
2010.0,8.0,172.0,34632.0,33631.0,205476.0,200372.0
2011.0,16.0,169.0,31591.0,30496.0,195419.0,188738.0
2012.0,29.0,179.0,34090.0,33150.0,196562.0,191133.0
2013.0,28.0,199.0,37516.0,36849.0,197077.0,193677.0
2014.0,44.0,191.0,38816.0,38483.0,211157.0,209390.0
,,,,,,
Seljahverfi,,,,,,
,,,,,,
1990.0,21.0,208.0,11076.0,10008.0,55262.0,49778.0
1991.0,21.0,211.0,12198.0,10627.0,61343.0,53160.0
1992.0,16.0,218.0,14099.0,12738.0,66103.0,59534.0
1993.0,15.0,237.0,13600.0,12507.0,57334.0,52554.0
1994.0,41.0,220.0,13083.0,12185.0,61252.0,57072.0
1995.0,45.0,239.0,13136.0,11946.0,58123.0,52891.0
1996.0,44.0,219.0,12676.0,11652.0,61411.0,56619.0
1997.0,61.0,231.0,12809.0,11881.0,58221.0,53959.0
1998.0,94.0,238.0,13670.0,13219.0,59477.0,57604.0
1999.0,95.0,228.0,15050.0,14907.0,67927.0,67296.0
2000.0,63.0,240.0,19108.0,18178.0,82731.0,78719.0
2001.0,59.0,225.0,19731.0,18441.0,90282.0,84378.0
2002.0,67.0,227.0,20379.0,19065.0,92521.0,86521.0
2003.0,67.0,247.0,22822.0,22311.0,95250.0,93099.0
2004.0,115.0,235.0,25064.0,24819.0,110973.0,109857.0
2005.0,66.0,228.0,36305.0,35736.0,161985.0,159492.0
2006.0,41.0,219.0,40693.0,39719.0,191405.0,186579.0
2007.0,73.0,229.0,44167.0,43060.0,198180.0,193141.0
2008.0,16.0,212.0,44927.0,43245.0,222504.0,215101.0
2009.0,10.0,234.0,40500.0,38052.0,178490.0,167324.0
2010.0,20.0,225.0,43567.0,42028.0,196987.0,189907.0
2011.0,25.0,212.0,39044.0,38218.0,191196.0,187432.0
2012.0,39.0,218.0,38583.0,37648.0,182089.0,177826.0
2013.0,56.0,219.0,41773.0,40747.0,199661.0,194830.0
2014.0,52.0,239.0,46551.0,45729.0,200536.0,197446.0
,,,,,,
Árbær og Norðlingaholt,,,,,,
,,,,,,
1990.0,10.0,208.0,12120.0,10889.0,59505.0,53499.0
1991.0,12.0,179.0,12075.0,10877.0,67679.0,60808.0
1992.0,8.0,189.0,11850.0,11062.0,63712.0,59185.0
1993.0,17.0,219.0,12897.0,11776.0,61355.0,56093.0
1994.0,21.0,219.0,14000.0,13100.0,66347.0,62195.0
1995.0,24.0,228.0,14639.0,13522.0,65137.0,59959.0
1996.0,26.0,231.0,13317.0,12335.0,59082.0,54553.0
1997.0,40.0,220.0,13560.0,12588.0,62120.0,57640.0
1998.0,46.0,224.0,14506.0,14091.0,67147.0,65199.0
1999.0,51.0,241.0,18197.0,18085.0,77495.0,76942.0
2000.0,57.0,232.0,20370.0,19324.0,90687.0,85987.0
2001.0,44.0,206.0,20868.0,19546.0,103418.0,96745.0
2002.0,40.0,210.0,21963.0,20535.0,109771.0,103008.0
2003.0,59.0,208.0,23303.0,22662.0,115484.0,112479.0
2004.0,48.0,221.0,28471.0,28076.0,131914.0,130009.0
2005.0,64.0,211.0,37593.0,36888.0,183533.0,180371.0
2006.0,33.0,225.0,43786.0,42486.0,199442.0,193965.0
2007.0,57.0,217.0,50806.0,48980.0,239820.0,231687.0
2008.0,17.0,185.0,49179.0,47423.0,277719.0,268707.0
2009.0,10.0,219.0,51229.0,48368.0,233995.0,219940.0
2010.0,21.0,216.0,46232.0,43588.0,216896.0,204782.0
2011.0,44.0,213.0,44932.0,43853.0,216270.0,211630.0
2012.0,30.0,228.0,50528.0,49788.0,228626.0,225483.0
2013.0,48.0,216.0,49870.0,48788.0,238069.0,233041.0
2014.0,36.0,218.0,51938.0,50565.0,247885.0,240871.0
,,,,,,
"Lindir, Smárar og Salir , Kópavogur",,,,,,
,,,,,,
1995.0,7.0,158.0,9491.0,8794.0,61156.0,56581.0
1996.0,17.0,183.0,10472.0,9757.0,58422.0,54424.0
1997.0,16.0,175.0,11535.0,11018.0,67549.0,64454.0
1998.0,25.0,179.0,12882.0,12574.0,73365.0,71603.0
1999.0,36.0,171.0,15025.0,14888.0,88800.0,87954.0
2000.0,26.0,181.0,18708.0,17646.0,105287.0,99536.0
2001.0,29.0,175.0,19705.0,18390.0,114315.0,106801.0
2002.0,41.0,183.0,21759.0,20491.0,122489.0,115320.0
2003.0,53.0,191.0,24002.0,23653.0,127171.0,125242.0
2004.0,46.0,191.0,28474.0,28167.0,151703.0,150002.0
2005.0,38.0,190.0,41411.0,40535.0,218759.0,214350.0
2006.0,37.0,190.0,46215.0,44825.0,244074.0,236735.0
