Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
1999.0,6.0,122.0,203.0,15540.0,15398.0,79128.0,78296.0
1999.0,5.0,118.0,189.0,14168.0,14080.0,78319.0,77932.0
1999.0,4.0,133.0,193.0,14382.0,14247.0,78400.0,77638.0
1999.0,3.0,127.0,201.0,14561.0,14427.0,75144.0,74442.0
1999.0,2.0,34.0,194.0,14088.0,13842.0,73702.0,72440.0
1999.0,1.0,43.0,204.0,14283.0,14107.0,73088.0,72228.0
1998.0,12.0,103.0,203.0,13800.0,13461.0,74269.0,72400.0
1998.0,11.0,103.0,200.0,13219.0,12877.0,69191.0,67824.0
1998.0,10.0,105.0,196.0,13310.0,13016.0,71175.0,69665.0
1998.0,9.0,103.0,198.0,13209.0,12878.0,69693.0,68042.0
1998.0,8.0,87.0,191.0,13007.0,12611.0,70891.0,68727.0
1998.0,7.0,111.0,190.0,12650.0,12297.0,68675.0,66796.0
1998.0,6.0,92.0,198.0,12731.0,12380.0,67034.0,65221.0
1998.0,5.0,92.0,191.0,12455.0,12052.0,68867.0,66749.0
1998.0,4.0,112.0,188.0,12144.0,11809.0,67702.0,65800.0
1998.0,3.0,88.0,194.0,12447.0,12066.0,67309.0,65335.0
1998.0,2.0,59.0,194.0,12449.0,11893.0,66684.0,63539.0
1998.0,1.0,64.0,206.0,13373.0,12590.0,67467.0,63545.0
1997.0,12.0,65.0,221.0,13784.0,13027.0,64618.0,60977.0
1997.0,11.0,84.0,184.0,12163.0,11462.0,68735.0,64716.0
1997.0,10.0,102.0,203.0,12397.0,11757.0,63619.0,60249.0
1997.0,9.0,96.0,187.0,11716.0,11007.0,65921.0,61885.0
1997.0,8.0,84.0,201.0,12483.0,11652.0,64591.0,60363.0
1997.0,7.0,77.0,172.0,11510.0,10719.0,70992.0,66016.0
1997.0,6.0,83.0,190.0,12095.0,11213.0,67312.0,62420.0
1997.0,5.0,75.0,194.0,12451.0,11625.0,66547.0,62152.0
1997.0,4.0,66.0,196.0,12782.0,11893.0,68349.0,63552.0
1997.0,3.0,85.0,204.0,12599.0,11757.0,64421.0,60251.0
1997.0,2.0,43.0,190.0,11734.0,10899.0,64738.0,60140.0
1997.0,1.0,44.0,196.0,12358.0,11627.0,66189.0,62180.0
1996.0,12.0,57.0,201.0,11837.0,11225.0,60437.0,57143.0
1996.0,11.0,65.0,208.0,12484.0,11588.0,63326.0,58843.0
1996.0,10.0,92.0,187.0,11943.0,11052.0,66694.0,61753.0
1996.0,9.0,64.0,192.0,11790.0,10994.0,64811.0,60476.0
1996.0,8.0,78.0,198.0,12146.0,11319.0,63730.0,59343.0
1996.0,7.0,61.0,189.0,12058.0,11192.0,65822.0,61115.0
1996.0,6.0,66.0,203.0,12966.0,12040.0,66268.0,61298.0
