Verð Íbúðarhúsnæðis á höfuðborgarsvæðinu. Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð íbúða í þúsundum króna,Meðaltals staðgreiðsluverð íbúða í þúsundum króna,Kaupverð á fermeter (krónur),Staðgreiðsluverð á fermeter (krónur)
1999.0,7.0,671.0,105.0,9167.0,9110.0,91524.0,91069.0
1999.0,6.0,693.0,113.0,9388.0,9318.0,87541.0,86923.0
1999.0,5.0,667.0,112.0,9092.0,9038.0,85444.0,85030.0
1999.0,4.0,697.0,115.0,9070.0,9019.0,83335.0,82962.0
1999.0,3.0,828.0,108.0,8591.0,8514.0,83280.0,82621.0
1999.0,2.0,306.0,106.0,8066.0,8022.0,81582.0,81292.0
1999.0,1.0,289.0,105.0,8155.0,8093.0,81121.0,80618.0
1998.0,12.0,487.0,114.0,8492.0,8286.0,79596.0,77697.0
1998.0,11.0,602.0,113.0,8308.0,8170.0,77729.0,76635.0
1998.0,10.0,595.0,109.0,8091.0,7949.0,78389.0,77147.0
1998.0,9.0,543.0,110.0,8224.0,8033.0,79725.0,77960.0
1998.0,8.0,492.0,109.0,8038.0,7793.0,78190.0,75830.0
1998.0,7.0,566.0,110.0,8153.0,7915.0,78023.0,75733.0
1998.0,6.0,509.0,113.0,8224.0,7991.0,77866.0,75672.0
1998.0,5.0,463.0,111.0,8044.0,7796.0,77916.0,75523.0
1998.0,4.0,513.0,116.0,8300.0,8056.0,76294.0,74016.0
1998.0,3.0,467.0,111.0,7945.0,7715.0,76353.0,74221.0
1998.0,2.0,395.0,111.0,8081.0,7733.0,77125.0,73759.0
1998.0,1.0,306.0,119.0,8480.0,7985.0,75716.0,71272.0
1997.0,12.0,414.0,115.0,8156.0,7692.0,75277.0,71009.0
1997.0,11.0,455.0,111.0,7977.0,7507.0,75652.0,71124.0
1997.0,10.0,532.0,113.0,7982.0,7520.0,75966.0,71470.0
1997.0,9.0,516.0,108.0,7648.0,7177.0,75362.0,70705.0
1997.0,8.0,429.0,113.0,8006.0,7468.0,75222.0,70193.0
1997.0,7.0,431.0,105.0,7666.0,7146.0,77116.0,71884.0
1997.0,6.0,450.0,114.0,8066.0,7513.0,75658.0,70553.0
1997.0,5.0,430.0,111.0,7952.0,7424.0,75592.0,70638.0
1997.0,4.0,347.0,114.0,8161.0,7596.0,76741.0,71331.0
1997.0,3.0,360.0,119.0,8191.0,7621.0,74381.0,69209.0
1997.0,2.0,320.0,103.0,7372.0,6848.0,76119.0,70859.0
1997.0,1.0,233.0,110.0,7802.0,7268.0,74792.0,69611.0
1996.0,12.0,282.0,114.0,7932.0,7418.0,74014.0,69020.0
1996.0,11.0,398.0,113.0,7852.0,7256.0,74815.0,69101.0
1996.0,10.0,478.0,112.0,7871.0,7277.0,74131.0,68543.0
1996.0,9.0,434.0,105.0,7408.0,6902.0,74997.0,69974.0
1996.0,8.0,403.0,112.0,7944.0,7425.0,76146.0,71159.0
1996.0,7.0,363.0,108.0,7674.0,7138.0,75814.0,70581.0
1996.0,6.0,355.0,114.0,8045.0,7471.0,74722.0,69408.0
1996.0,5.0,422.0,104.0,7355.0,6833.0,74509.0,69235.0
1996.0,4.0,409.0,112.0,7804.0,7218.0,73978.0,68447.0
1996.0,3.0,418.0,109.0,7562.0,7028.0,73696.0,68434.0
1996.0,2.0,293.0,110.0,7591.0,7070.0,73861.0,68724.0
1996.0,1.0,224.0,100.0,7154.0,6598.0,74938.0,69314.0
1995.0,12.0,318.0,108.0,7355.0,6805.0,72645.0,67462.0
1995.0,11.0,384.0,112.0,7785.0,7191.0,73964.0,68374.0
1995.0,10.0,346.0,106.0,7484.0,6929.0,75170.0,69667.0
1995.0,9.0,323.0,108.0,7802.0,7223.0,75717.0,70060.0
1995.0,8.0,392.0,109.0,7523.0,6949.0,74297.0,68805.0
1995.0,7.0,298.0,111.0,7812.0,7171.0,74872.0,69109.0
1995.0,6.0,395.0,110.0,7786.0,7192.0,74828.0,69182.0
1995.0,5.0,386.0,110.0,7695.0,7105.0,73637.0,68048.0
1995.0,4.0,257.0,111.0,7881.0,7256.0,75784.0,69794.0
1995.0,3.0,328.0,112.0,7841.0,7247.0,74998.0,69415.0
1995.0,2.0,234.0,112.0,7656.0,7065.0,74003.0,68420.0
1995.0,1.0,229.0,113.0,7833.0,7234.0,73460.0,67906.0
1994.0,12.0,308.0,111.0,7743.0,7298.0,74248.0,70207.0
1994.0,11.0,543.0,109.0,7635.0,7209.0,74030.0,70068.0
1994.0,10.0,264.0,99.0,7037.0,6691.0,74986.0,71385.0
1994.0,9.0,265.0,102.0,7260.0,6864.0,75930.0,72016.0
1994.0,8.0,310.0,110.0,7689.0,7254.0,74622.0,70585.0
1994.0,7.0,339.0,113.0,7830.0,7395.0,74893.0,70953.0
1994.0,6.0,321.0,110.0,7915.0,7470.0,76168.0,72211.0
1994.0,5.0,314.0,107.0,7581.0,7150.0,75289.0,71286.0
1994.0,4.0,280.0,107.0,7654.0,7238.0,76217.0,72270.0
1994.0,3.0,356.0,117.0,8135.0,7705.0,75482.0,71543.0
1994.0,2.0,230.0,110.0,7573.0,7190.0,74603.0,70802.0
1994.0,1.0,182.0,107.0,7709.0,7193.0,75630.0,70554.0
1993.0,12.0,245.0,107.0,7583.0,7172.0,75633.0,71214.0
1993.0,11.0,215.0,112.0,8110.0,7640.0,75503.0,70899.0
1993.0,10.0,296.0,105.0,7626.0,6852.0,76998.0,69091.0
1993.0,9.0,228.0,97.0,7015.0,6344.0,76065.0,68773.0
1993.0,8.0,182.0,96.0,6864.0,6217.0,75683.0,68373.0
1993.0,7.0,187.0,98.0,7177.0,6472.0,76611.0,69067.0
1993.0,6.0,202.0,100.0,7118.0,6387.0,76940.0,68856.0
1993.0,5.0,186.0,102.0,7277.0,6601.0,76758.0,69462.0
1993.0,4.0,166.0,99.0,7299.0,6551.0,77870.0,69700.0
1993.0,3.0,216.0,102.0,7349.0,6671.0,76274.0,68950.0
1993.0,2.0,178.0,98.0,7296.0,6450.0,77710.0,68531.0
1993.0,1.0,128.0,102.0,7534.0,6674.0,77528.0,68163.0
1992.0,12.0,154.0,99.0,7195.0,6326.0,75928.0,66587.0
1992.0,11.0,191.0,101.0,7344.0,6498.0,75757.0,66718.0
1992.0,10.0,231.0,94.0,7145.0,6308.0,78533.0,69168.0
1992.0,9.0,219.0,97.0,7105.0,6521.0,77241.0,70721.0
1992.0,8.0,175.0,99.0,7177.0,6558.0,75410.0,68753.0
1992.0,7.0,276.0,107.0,7734.0,7077.0,76639.0,69847.0
1992.0,6.0,228.0,104.0,7603.0,7002.0,77859.0,71357.0
1992.0,5.0,173.0,96.0,7251.0,6639.0,79724.0,72687.0
