Sveitarfélagsnúmer,Sveitarfélag,Lögheimili í sama sveitarfélagi,Lögheimili á höfuðborgarsvæðinu,Lögheimili á landsbyggðinni,Annað lögheimili*
7000.0,Seyðisfjarðarkaupstaður,0.8278787903875116,0.10327020031293999,0.034507575862144174,0.03434343343740434
,,,,,
7300.0,Fjarðarbyggð,0.7754956000898647,0.17755199900142776,0.029373644057892646,0.017578756850814833
,,,,,
7502.0,Vopnafjarðarhreppur,0.8773732000000001,0.08590415517241379,0.029136437931034483,0.007586206896551725
,,,,,
7505.0,Fljótsdalshreppur,0.621246625,0.23827500000000001,0.09881172499999999,0.04166665
,,,,,
7509.0,Borgarfjarðarhreppur,0.6060444706990403,0.1867465404564243,0.1910733328567415,0.016135655987793887
,,,,,
7613.0,Breiðdalshreppur,0.7330578391230109,0.16599764188433652,0.08854782498268059,0.012396694009972
,,,,,
7617.0,Djúpavogshreppur,0.7839660076717667,0.1475439294048185,0.04857514422241904,0.019914918700995838
,,,,,
7620.0,Fljótsdalshérað,0.8173282265207241,0.1338418706655043,0.03637577081443477,0.012454131999336832
,,,,,
7708.0,Sveitarfélagið Hornafjörður,0.895130219532925,0.08049765301031268,0.014603519435198447,0.009768608021563844
,,,,,
8000.0,Vestmannaeyjar,0.9027625255519146,0.07330826979297743,0.014523668269409228,0.009405536385698764
,,,,,
8200.0,Sveitarfélagið Árborg,0.8102693663642965,0.1315093256817924,0.04151000127774582,0.016711306676165445
,,,,,
8508.0,Mýrdalshreppur,0.7402607361275411,0.2033008429619093,0.032672137234449956,0.023766283676099578
,,,,,
8509.0,Skaftárhreppur,0.7591585046825966,0.18757593442472897,0.046734069739220716,0.0065314911534537085
,,,,,
8610.0,Ásahreppur,0.6473988439306358,0.24855491329479767,0.09248554913294797,0.011560693641618497
,,,,,
8613.0,Rangárþing eystra,0.7850846132508831,0.15696282700914782,0.04737031671516862,0.010582243024800314
,,,,,
8614.0,Rangárþing ytra,0.7699335352265487,0.17585673600097382,0.03501642004454204,0.019193308727935534
,,,,,
8710.0,Hrunamannahreppur,0.8168975534329544,0.15023065723886586,0.02422125835391724,0.008650530974262487
,,,,,
8716.0,Hveragerðisbær,0.6925608098663927,0.2460054820143885,0.037110310380267214,0.024323397738951695
,,,,,
8717.0,Sveitarfélagið Ölfus,0.7565797503467405,0.20509385020804438,0.019093851595006935,0.019232547850208042
,,,,,
8719.0,Grímsnes- og Grafningshreppur,0.7156656521739131,0.24591672463768116,0.03358670531400966,0.004830917874396135
,,,,,
8720.0,Skeiða- og Gnúpverjahr.,0.6634712595744682,0.2835075659574468,0.051638480851063824,0.0013826936170212767
,,,,,
8721.0,Bláskógabyggð,0.6008465623582767,0.34062437414965985,0.039320569160997736,0.01920849433106576
,,,,,
8722.0,Flóahreppur,0.7871813178599021,0.12901564390462644,0.06860269204672995,0.015200346188741592
,,,,,
"* Megnið lögheimili erlendis, en einnig látnir einstaklingar",,,,,
