ár,fjöldi ,fjöldi,fjöldi,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,sérbýli,fjölbýli,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
Höfuðborgarsvæðið,,,,,,,,
,,,,,,,,
2013.0,631.0,309.0,322.0,127.0,21189.0,20716.0,172845.0,168899.0
2014.0,696.0,315.0,381.0,127.0,21958.0,21572.0,182748.0,179562.0
,,,,,,,,
Austurland,,,,,,,,
,,,,,,,,
1990.0,36.0,25.0,11.0,133.0,4854.0,4411.0,41673.0,37720.0
1991.0,66.0,38.0,28.0,127.0,5376.0,4739.0,44888.0,39396.0
1992.0,57.0,37.0,20.0,127.0,5236.0,4747.0,45433.0,40986.0
1993.0,82.0,48.0,34.0,121.0,5123.0,4679.0,45899.0,41881.0
1994.0,100.0,61.0,39.0,148.0,5577.0,5301.0,40738.0,38719.0
1995.0,90.0,60.0,30.0,140.0,5829.0,5437.0,45836.0,42680.0
1996.0,131.0,83.0,48.0,139.0,6044.0,5641.0,47289.0,44166.0
1997.0,157.0,101.0,56.0,137.0,6067.0,5676.0,49813.0,46656.0
1998.0,127.0,79.0,48.0,151.0,5852.0,5684.0,44046.0,42779.0
1999.0,226.0,143.0,83.0,143.0,6781.0,6732.0,49664.0,49431.0
2000.0,167.0,106.0,61.0,136.0,6346.0,5962.0,49845.0,46878.0
2001.0,133.0,87.0,46.0,140.0,6602.0,6087.0,50252.0,46370.0
2002.0,138.0,95.0,43.0,134.0,6807.0,6343.0,54233.0,50610.0
2003.0,266.0,186.0,80.0,147.0,7234.0,7106.0,52304.0,51406.0
2004.0,266.0,179.0,87.0,139.0,9659.0,9588.0,74413.0,73922.0
2005.0,393.0,231.0,162.0,135.0,11259.0,11186.0,89236.0,88699.0
2006.0,289.0,168.0,121.0,128.0,12217.0,11979.0,102309.0,100168.0
2007.0,309.0,191.0,118.0,132.0,14994.0,14645.0,120023.0,117075.0
2008.0,171.0,106.0,65.0,129.0,13894.0,13330.0,116535.0,112123.0
2009.0,112.0,76.0,36.0,138.0,12591.0,12148.0,97870.0,94485.0
2010.0,141.0,83.0,58.0,135.0,14044.0,13641.0,109613.0,106781.0
2011.0,125.0,83.0,42.0,138.0,14903.0,14432.0,116465.0,112736.0
2012.0,158.0,107.0,51.0,135.0,15775.0,15300.0,121389.0,117842.0
2013.0,176.0,107.0,69.0,133.0,15605.0,15223.0,122297.0,119353.0
2014.0,179.0,121.0,58.0,143.0,17331.0,17081.0,127086.0,125183.0
,,,,,,,,
Suðurland,,,,,,,,
,,,,,,,,
1990.0,115.0,65.0,50.0,133.0,4872.0,4395.0,39067.0,35180.0
1991.0,148.0,75.0,73.0,127.0,5051.0,4432.0,43611.0,38240.0
1992.0,168.0,94.0,74.0,122.0,5521.0,4981.0,47976.0,43119.0
1993.0,181.0,118.0,63.0,138.0,5914.0,5385.0,46106.0,41955.0
1994.0,299.0,195.0,104.0,137.0,5963.0,5636.0,46149.0,43705.0
1995.0,257.0,179.0,78.0,131.0,5834.0,5399.0,46719.0,43320.0
1996.0,278.0,188.0,90.0,134.0,6128.0,5682.0,48362.0,44844.0
1997.0,259.0,169.0,90.0,136.0,6127.0,5700.0,47066.0,43882.0
1998.0,345.0,243.0,102.0,146.0,6435.0,6243.0,48392.0,46975.0
1999.0,478.0,357.0,121.0,148.0,7236.0,7167.0,50965.0,50503.0
2000.0,418.0,297.0,121.0,139.0,7888.0,7368.0,60536.0,56601.0
2001.0,382.0,244.0,138.0,136.0,8658.0,8015.0,68245.0,63170.0
2002.0,339.0,243.0,96.0,141.0,9662.0,9021.0,72497.0,67673.0
2003.0,401.0,278.0,123.0,149.0,10927.0,10696.0,79029.0,77491.0
2004.0,493.0,360.0,133.0,148.0,11842.0,11756.0,87491.0,86880.0
2005.0,766.0,481.0,288.0,138.0,13855.0,13749.0,109941.0,109175.0
2006.0,506.0,341.0,165.0,132.0,16146.0,15830.0,127451.0,125230.0
2007.0,589.0,382.0,207.0,130.0,17586.0,17107.0,139064.0,135288.0
2008.0,300.0,193.0,107.0,137.0,19599.0,18871.0,151844.0,146358.0
2009.0,161.0,108.0,53.0,145.0,18666.0,17937.0,131066.0,126165.0
2010.0,194.0,129.0,65.0,142.0,18369.0,17696.0,132146.0,127647.0
2011.0,259.0,179.0,80.0,143.0,19637.0,19053.0,143670.0,139672.0
2012.0,246.0,178.0,68.0,146.0,20301.0,19630.0,146586.0,142159.0
2013.0,327.0,243.0,84.0,148.0,21139.0,20705.0,150224.0,147012.0
2014.0,425.0,326.0,99.0,149.0,21884.0,21473.0,153051.0,150219.0
