Skipting einstaklingar/lögaðilar,,,,,,,
Sveitarfélagsnúmer,Sveitarfélag,Tegund eiganda,Lögheimili í sama sveitarfélagi,Lögheimili á höfuðborgarsvæðinu,Lögheimili á landsbyggðinni,Annað lögheimili*,Hlutir íbúðarhúsnæðis
4100.0,Bolungarvíkurkaupstaður,Einstaklingur,0.6789967694613144,0.06972776417376524,0.028061228140618965,0.01658155827974355,0.7933673200554422
,,Lögaðili,0.18405614639505988,0.022576533549497985,0.0,0.0,0.20663267994455783
4200.0,Ísafjarðarbær,Einstaklingur,0.6673443941747185,0.07601043584212432,0.025070266088174635,0.023125007811772038,0.7915501039167895
,,Lögaðili,0.1326387417216953,0.07077506256445601,0.0043367910553766134,0.0006993007416825624,0.20844989608321046
4502.0,Reykhólahreppur,Einstaklingur,0.5139784006104928,0.1742255415965116,0.09013028636272064,0.02327871177366038,0.8016129403433854
,,Lögaðili,0.13387094269511396,0.05161289356920056,0.01290322339230014,0.0,0.19838705965661466
4604.0,Tálknafjarðarhreppur,Einstaklingur,0.672185105326058,0.03394248208872121,0.06207996260789936,0.03947790995703317,0.8076854599797118
,,Lögaðili,0.11966238045706824,0.06410484667342942,0.008547312889790588,0.0,0.19231454002028825
4607.0,Vesturbyggð,Einstaklingur,0.6295108027235333,0.09557642940292681,0.05680504007424059,0.01807643645179766,0.7999687086524985
,,Lögaðili,0.1591741561702714,0.03515036933263734,0.005706765844592887,0.0,0.20003129134750164
4803.0,Súðavíkurhreppur,Einstaklingur,0.4713047658901172,0.15302204418153287,0.1072903413225826,0.007455151717044047,0.7390723031112767
,,Lögaðili,0.1603773751335012,0.0762578664041182,0.020754719134923685,0.0035377362161801732,0.26092769688872325
4901.0,Árneshreppur,Einstaklingur,0.4357142857142857,0.12471654285714284,0.21099774285714287,0.02857142857142857,0.8
,,Lögaðili,0.14285714285714285,0.05714285714285714,0.0,0.0,0.2
4902.0,Kaldrananeshreppur,Einstaklingur,0.4696969696969697,0.24751475757575758,0.09423609090909091,0.0016835,0.8131313181818182
,,Lögaðili,0.14141413636363637,0.045454545454545456,0.0,0.0,0.1868686818181818
4911.0,Strandabyggð,Einstaklingur,0.6825123204745276,0.11860285081937318,0.05199809638820974,0.017456354209413237,0.8705696218915238
,,Lögaðili,0.08301687658628426,0.03945147629386316,0.004852320613683705,0.002109704614645089,0.1294303781084762
5200.0,Sveitarfélagið Skagafjörður,Einstaklingur,0.7128108952702703,0.04990624324324324,0.02761793243243243,0.0104344481981982,0.8007695191441442
,,Lögaðili,0.15954391891891892,0.03698385923423424,0.0027027027027027024,0.0,0.19923048085585585
5508.0,Húnaþing vestra,Einstaklingur,0.6475549026376921,0.12161185181485293,0.031944899073283864,0.020357698287801873,0.8214693518136308
,,Lögaðili,0.12189828577957362,0.049771298883115773,0.00686106352367979,0.0,0.17853064818636918
5604.0,Blönduósbær,Einstaklingur,0.6712598425196851,0.0531496062992126,0.048556430446194225,0.011811023622047244,0.7847769028871391
,,Lögaðili,0.15380577427821523,0.0557742782152231,0.005643044619422572,0.0,0.2152230971128609
5609.0,Sveitarfélagið Skagaströnd,Einstaklingur,0.6738317757009346,0.0455607476635514,0.022663551401869157,0.021962616822429906,0.764018691588785
,,Lögaðili,0.16355140186915887,0.03271028037383177,0.0397196261682243,0.0,0.23598130841121495
5611.0,Skagabyggð,Einstaklingur,0.6848405712426748,0.19858153161309186,0.10593959700842491,0.0,0.9893616998641914
,,Lögaðili,0.0,0.01063830013580854,0.0,0.0,0.01063830013580854
5612.0,Húnavatnshreppur,Einstaklingur,0.6951278880480262,0.09634140783683487,0.06208253665712385,0.005464483860373693,0.8590163164023586
,,Lögaðili,0.09289622562635279,0.04808745797128851,0.0,0.0,0.1409836835976413
5706.0,Akrahreppur,Einstaklingur,0.7469915714285713,0.09903151648351648,0.08280952747252747,0.01622232967032967,0.945054945054945
,,Lögaðili,0.02197802197802198,0.02197802197802198,0.01098901098901099,0.0,0.054945054945054944
6000.0,Akureyrarkaupstaður,Einstaklingur,0.7213599272526067,0.0405524688343151,0.04179421627566053,0.016440492093106537,0.8201471044556888
,,Lögaðili,0.10590190085150895,0.06604191586681402,0.007842615978710967,6.64628472772116e-05,0.17985289554431116
6100.0,Norðurþing,Einstaklingur,0.6803065260542376,0.06713297686089303,0.05386055949243588,0.012965849504546994,0.8142659119121135
,,Lögaðili,0.11454758235002956,0.04836193466599818,0.022737909605062046,8.666146679665159e-05,0.18573408808788644
6250.0,Fjallabyggð,Einstaklingur,0.6698227420419988,0.1334669809331878,0.05861128388880223,0.02039672559236494,0.8822977324563538
,,Lögaðili,0.07238467561830766,0.03805566853861538,0.0063236903910226005,0.0009382329957006825,0.11770226754364631
6400.0,Dalvíkurbyggð,Einstaklingur,0.811617303030303,0.0341291694214876,0.04171909228650138,0.01680440771349862,0.9042699724517906
,,Lögaðili,0.05392561983471074,0.040426997245179064,0.0013774104683195593,0.0,0.09573002754820936
6513.0,Eyjafjarðarsveit,Einstaklingur,0.732728756476684,0.01528497409326425,0.04943886010362695,0.02249559585492228,0.8199481865284974
,,Lögaðili,0.06865284974093264,0.09844559585492228,0.012953367875647668,0.0,0.1800518134715026
6515.0,Hörgársveit,Einstaklingur,0.720808319327731,0.05474189915966387,0.06793717647058824,0.012184873949579832,0.8556722689075631
,,Lögaðili,0.053361344537815124,0.046008403361344534,0.04495798319327731,0.0,0.144327731092437
6601.0,Svalbarðsstrandarhreppur,Einstaklingur,0.7758620620689656,0.057471262068965516,0.06839081379310344,0.017241379310344827,0.9189655172413793
,,Lögaðili,0.04827586206896552,0.006896551724137931,0.022413793103448276,0.0034482758620689655,0.08103448275862069
6602.0,Grýtubakkahreppur,Einstaklingur,0.7402874895104895,0.029975643356643357,0.05461284615384616,0.04924989510489511,0.8741258741258742
,,Lögaðili,0.1048951048951049,0.013986013986013986,0.006993006993006993,0.0,0.1258741258741259
